fecha,nombre,km,millas,produccion
,,kmh,mph,
1921,Bentley 3 Litre Super Sports,129,80,1.622
1924,Bentley 3 Litre Green Label,161,92,720
1949,Jaguar XK120,193.1,120,12055
1953,Pegaso Z-102 Supercharged,244.6,152,86
1954,Mercedes-Benz 300SL,250,156,3258
1955,Ferrari 410 Superamerica,261,163,34
1962,Ferrari 250 GTO,280,175,36
1968,Ferrari Daytona GTB/4,281,176,1284
1984,Ferrari 288 GTO,304,190,272
1986,Porsche 959,319,197,337
1987,Ferrari F40,324,201,1315
1992,Bugatti EB110 SS,348,210,31
1993,Jaguar XJ220,350,214,
1994,McLaren F1,391,"242,9",107
2004,Saleen S7,399,248,
2005,Bugatti Veyron,408.5,253.8,200
2007,SSC Ultimate Aero TT,412,257.5,24
2010,Bugatti Veyron (Super Sport),431,267,
2013,Hennessey Venom GT,435.2,270.5,30
2017,Koenigsegg Agera RS,457.9,284.58,